series_title,runtime,genre,rating,release_year,end_year,duration,cast,synopsis
Profit,90,Crime,8.7,1996,1997,1,"Adrian Pasdar, Lisa Darr, Lisa Blount, Jack Gwaltney","Jim Profit works for a multinational company and isn't above using any means necessary to get ahead, which includes bribery, blackmail, intimidation, extortion, and even murder. Everyone at...                See full summary »"
Profit,90,Drama,8.7,1996,1997,1,"Adrian Pasdar, Lisa Darr, Lisa Blount, Jack Gwaltney","Jim Profit works for a multinational company and isn't above using any means necessary to get ahead, which includes bribery, blackmail, intimidation, extortion, and even murder. Everyone at...                See full summary »"
Are You Smarter Than a 5th Grader?,60,Family,4.9,2007,2019,12,"Jeff Foxworthy, Danielle Soibelman, Madison Leisle, Lauren Perez",A quiz show that features adult contestants and questions directly from the textbooks of first through fifth graders.
Are You Smarter Than a 5th Grader?,60,Game-Show,4.9,2007,2019,12,"Jeff Foxworthy, Danielle Soibelman, Madison Leisle, Lauren Perez",A quiz show that features adult contestants and questions directly from the textbooks of first through fifth graders.
Fushigi no umi no Nadia,25,Animation,7.8,1990,2003,13,"Noriko Hidaka, Nathan Parsons, James Arnold Taylor, Guy Roberts",A teen acrobat of mysterious origins and a young inventor find themselves entangled in a sinister plot that involves the fate of the world.
Fushigi no umi no Nadia,25,Action,7.8,1990,2003,13,"Noriko Hidaka, Nathan Parsons, James Arnold Taylor, Guy Roberts",A teen acrobat of mysterious origins and a young inventor find themselves entangled in a sinister plot that involves the fate of the world.
Fushigi no umi no Nadia,25,Adventure,7.8,1990,2003,13,"Noriko Hidaka, Nathan Parsons, James Arnold Taylor, Guy Roberts",A teen acrobat of mysterious origins and a young inventor find themselves entangled in a sinister plot that involves the fate of the world.
Manhattan Love Story,30,Comedy,7.0,2014,2014,0,"Lio Tipton, Jake McDorman, Nicolas Wright, Jade Catta-Preta",The unfiltered internal monologues of a young man and a young woman are exposed as they begin a new relationship together.
Gakuen Bebishittazu,23,Animation,7.7,2018,2018,0,"Koutarou Nishiyama, Yuichiro Umehara, Yûko Sanpei, Nozomi Furuki","After losing both parents in a fatal plane crash, teenager Ryuuichi Kashima must adjust to his new life as the guardian of his younger brother Kotarou. Although Ryuuichi is able to maintain...                See full summary »"
Gakuen Bebishittazu,23,Comedy,7.7,2018,2018,0,"Koutarou Nishiyama, Yuichiro Umehara, Yûko Sanpei, Nozomi Furuki","After losing both parents in a fatal plane crash, teenager Ryuuichi Kashima must adjust to his new life as the guardian of his younger brother Kotarou. Although Ryuuichi is able to maintain...                See full summary »"
Gakuen Bebishittazu,23,Drama,7.7,2018,2018,0,"Koutarou Nishiyama, Yuichiro Umehara, Yûko Sanpei, Nozomi Furuki","After losing both parents in a fatal plane crash, teenager Ryuuichi Kashima must adjust to his new life as the guardian of his younger brother Kotarou. Although Ryuuichi is able to maintain...                See full summary »"
Come Outside,,Adventure,8.0,1993,1997,4,"Lynda Baron, Pippin, Ashok Srivastava, Valerie Hunkins",Children's educational programme in which Auntie Mabel and her dog Pippin fly in their spotted plane looking at everyday things and finding out how they work.
Come Outside,,Family,8.0,1993,1997,4,"Lynda Baron, Pippin, Ashok Srivastava, Valerie Hunkins",Children's educational programme in which Auntie Mabel and her dog Pippin fly in their spotted plane looking at everyday things and finding out how they work.
